latitude_deg,longitude_deg,STATE,IATA
33.942501,-118.407997,California,LAX
41.9786,-87.9048,Illinois,ORD
40.639801,-73.7789,New York,JFK
33.6367,-84.428101,Georgia,ATL
37.61899948,-122.375,California,SFO
40.69250107,-74.16870117,New Jersey,EWR
32.896801,-97.038002,Texas,DFW
36.08010101,-115.1520004,Nevada,LAS
28.42939949,-81.30899811,Florida,MCO
39.86169815,-104.6729965,Colorado,DEN
40.777199,-73.872597,New York,LGA
38.94449997,-77.45580292,District of Columbia,IAD
25.79319954,-80.29060364,Florida,MIA
33.43429947,-112.012001,Arizona,PHX
42.36429977,-71.00520325,Massachusetts,BOS
47.449001,-122.308998,Washington,SEA
39.87189865,-75.2410965,Pennsylvania,PHL
35.2140007,-80.94309998,North Carolina,CLT
29.9843998,-95.34140015,Texas,IAH
42.21239853,-83.35340118,Michigan,DTW
38.8521,-77.037697,District of Columbia,DCA
44.882,-93.221802,Minnesota,MSP
40.78839874,-111.9779968,Utah,SLC
32.73360062,-117.1900024,California,SAN
41.785999,-87.752403,Illinois,MDW
26.072599,-80.152702,Florida,FLL
39.1754,-76.668297,Maryland,BWI
38.748697,-90.370003,Missouri,STL
21.32062,-157.924228,Hawaii,HNL
45.58869934,-122.5979996,Oregon,PDX
29.99340057,-90.25800323,Louisiana,MSY
39.048801,-84.667801,Kentucky,CVG
27.97550011,-82.53320313,Florida,TPA
36.12450027,-86.67819977,Tennessee,BNA
40.49150085,-80.23290253,Pennsylvania,PIT
30.19449997,-97.66989899,Texas,AUS
37.362598,-121.929001,California,SJC
37.721298,-122.221001,California,OAK
35.87760162,-78.78749847,North Carolina,RDU
35.04240036,-89.97669983,Tennessee,MEM
29.533701,-98.469803,Texas,SAT
39.2976,-94.713898,Missouri,MCI
29.64539909,-95.27890015,Texas,HOU
33.67570114,-117.8679962,California,SNA
41.4117012,-81.84980011,Ohio,CLE
32.847099,-96.851799,Texas,DAL
39.7173,-86.294403,Indiana,IND
35.040199,-106.609001,New Mexico,ABQ
42.94720078,-87.89659882,Wisconsin,MKE
39.998001,-82.891899,Ohio,CMH
32.115004,-110.938053,Arizona,TUS
41.93889999,-72.68319702,Connecticut,BDL
42.94049835,-78.73220062,New York,BUF
30.49410057,-81.68789673,Florida,JAX
61.17440033,-149.9960022,Alaska,ANC
31.80719948,-106.3779984,Texas,ELP
35.39310074,-97.60070038,Oklahoma,OKC
38.69540024,-121.5910034,California,SMF
20.8986,-156.429993,Hawaii,OGG
34.20069885,-118.3590012,California,BUR
41.3032,-95.894096,Nebraska,OMA
39.49909973,-119.7679977,Nevada,RNO
41.732601,-71.420403,Rhode Island,PVD
36.89459991,-76.20120239,Virginia,ORF
26.68320084,-80.09559631,Florida,PBI
33.817699,-118.152,California,LGB
38.1744,-85.736,Kentucky,SDF
32.89860153,-80.04049683,South Carolina,CHS
43.5644,-116.223,Idaho,BOI
37.50519943,-77.31970215,Virginia,RIC
32.12760162,-81.20210266,Georgia,SAV
33.56290054,-86.75350189,Alabama,BHM
43.11119843,-76.10630035,New York,SYR
34.05599976,-117.6009979,California,ONT
42.74829865,-73.80169678,New York,ALB
41.06700134,-73.70760345,New York,HPN
47.61989975,-117.5339966,Washington,GEG
43.9844017,-88.55699921,Wisconsin,OSH
19.738783,-156.045603,Hawaii,KOA
39.90240097,-84.2193985,Ohio,DAY
36.19839859,-95.88809967,Oklahoma,TUL
43.1189003,-77.67240143,New York,ROC
26.53619957,-81.75520325,Florida,RSW
37.649899,-97.433098,Kansas,ICT
43.13990021,-89.33750153,Wisconsin,MSN
38.805801,-104.700996,Colorado,COS
42.88079834,-85.52279663,Michigan,GRR
41.5340004,-93.6631012,Iowa,DSM
43.646198,-70.309303,Maine,PWM
42.932598,-71.435699,New Hampshire,MHT
34.72940063,-92.22429657,Arkansas,LIT
33.82970047,-116.5070038,California,PSP
35.81100082,-83.9940033,Tennessee,TYS
30.4734,-87.1866,Florida,PNS
34.42620087,-119.8399963,California,SBA
44.47190094,-73.15329742,Vermont,BTV
30.39649963,-84.35030365,Florida,TLH
36.09780121,-79.93730164,North Carolina,GSO
38.03649902,-84.60590363,Kentucky,LEX
47.52999878,-122.302002,Washington,BFI
36.5870018,-121.8430023,California,MRY
36.21070099,-115.1940002,Nevada,VGT
34.89569855,-82.21890259,South Carolina,GSP
40.85010147,-74.06079865,New Jersey,TEB
44.04529953,-103.0569992,South Dakota,RAP
33.663601,-101.822998,Texas,LBB
24.55610085,-81.75959778,Florida,EYW
29.179899,-81.058098,Florida,DAB
27.39539909,-82.55439758,Florida,SRQ
40.91609955,-81.44219971,Ohio,CAK
44.80739975,-68.82810211,Maine,BGR
27.91020012,-82.68740082,Florida,PIE
35.61709976,-106.0889969,New Mexico,SAF
34.0158,-118.450996,California,SMO
35.219398,-101.706001,Texas,AMA
36.776199,-119.718002,California,FAT
40.19350052,-76.76339722,Pennsylvania,MDT
34.20980072,-118.4899979,California,VNY
35.03530121,-85.20379639,Tennessee,CHA
21.97599983,-159.3390045,Hawaii,LIH
30.04240036,-90.02829742,Louisiana,NEW
33.93880081,-81.11949921,South Carolina,CAE
33.87559891,-84.30200195,Georgia,PDK
44.48509979,-88.12960052,Wisconsin,GRB
38.1385994,-78.45290375,Virginia,CHO
28.28980064,-81.43710327,Florida,ISM
32.8157,-117.139999,California,MYF
41.70869827,-86.31729889,Indiana,SBN
39.57009888,-104.848999,Colorado,APA
26.19729996,-80.17070007,Florida,FXE
35.436199,-82.541801,North Carolina,AVL
19.72139931,-155.0480042,Hawaii,ITO
34.6371994,-86.77510071,Alabama,HSV
28.77759933,-81.23750305,Florida,SFB
35.23680115,-120.6419983,California,SBP
48.7928009,-122.538002,Washington,BLI
43.6072998,-110.737999,Wyoming,JAC
41.88470078,-91.71080017,Iowa,CID
29.69009972,-82.27179718,Florida,GNV
33.6228981,-111.9110031,Arizona,SCF
33.67969894,-78.92829895,South Carolina,MYR
40.79520035,-73.10019684,New York,ISP
45.80770111,-108.5429993,Montana,BIL
37.24570084,-93.38860321,Missouri,SGF
38.2132,-122.280998,California,APC
38.51250076,-121.4929962,California,SAC
38.50899887,-122.8130035,California,STS
34.21369934,-119.0940018,California,
37.98970032,-122.0569992,California,CCR
28.5455,-81.332901,Florida,ORL
34.84859848,-111.788002,Arizona,SDX
30.69120026,-88.24279785,Alabama,MOB
44.12459946,-123.211998,Oregon,EUG
41.504101,-74.104797,New York,SWF
34.654499,-112.419998,Arizona,PRC
33.12829971,-117.2799988,California,CLD
27.988899,-82.018602,Florida,LAL
37.46110153,-122.1149979,California,PAO
40.97850037,-85.19509888,Indiana,FWA
43.58200073,-96.74189758,South Dakota,FSD
41.33850098,-75.7233963,Pennsylvania,AVP
64.81510162,-147.8560028,Alaska,FAI
25.907,-80.278397,Florida,OPF
37.69340134,-121.8199997,California,LVK
30.533199,-91.149597,Louisiana,BTR
46.84209824,-92.19360352,Minnesota,DLH
46.92070007,-96.81580353,North Dakota,FAR
37.51190186,-122.25,California,SQL
32.31119919,-90.07589722,Mississippi,JAN
40.65209961,-75.44080353,Pennsylvania,ABE
42.47000122,-71.28900146,Massachusetts,BED
26.15259933,-81.77529907,Florida,APF
43.90829849,-92.5,Minnesota,RST
34.27059937,-77.90260315,North Carolina,ILM
39.22320175,-106.8690033,Colorado,ASE
32.96860123,-96.83640289,Texas,ADS
35.97280121,-115.1340027,Nevada,HSH
36.93569946,-121.7900009,California,WVI
38.37310028,-81.59320068,West Virginia,CRW
37.3255,-79.975403,Virginia,ROA
28.10280037,-80.64530182,Florida,MLB
35.13850021,-111.6709976,Arizona,FLG
39.10329819,-84.41860199,Ohio,LUK
35.67290115,-120.6269989,California,PRB
35.95240021,-112.1470032,Arizona,GCN
40.85100174,-96.75920105,Nebraska,LNK
31.94249916,-102.2020035,Texas,MAF
27.77039909,-97.50119781,Texas,CRP
46.91630173,-114.0910034,Montana,MSO
47.90629959,-122.2819977,Washington,PAE
38.28910065,-104.4970016,Colorado,PUB
29.9592,-81.339798,Florida,UST
47.48199844,-111.3710022,Montana,GTF
42.23490143,-85.55210114,Michigan,AZO
41.51750183,-81.6832962,Ohio,BKL
36.281898,-94.306801,Arkansas,XNA
37.65919876,-122.1220016,California,HWD
33.68830109,-112.0830002,Arizona,DVT
37.13190079,-76.49299622,Virginia,PHF
42.37419891,-122.8730011,Oregon,MFR
32.819801,-97.362396,Texas,FTW
33.4049,-118.416,California,AVX
41.39310074,-70.61430359,Massachusetts,MVY
30.40730095,-89.07009888,Mississippi,GPT
40.03919983,-88.27809906,Illinois,CMI
39.12239838,-108.5270004,Colorado,GJT
32.65660095,-114.6060028,Arizona,YUM
38.89390182,-119.9950027,California,TVL
27.6556,-80.417901,Florida,VRB
34.26380157,-116.8560028,California,RBF
30.0618,-95.55280304,Texas,DWH
33.46080017,-111.7279968,Arizona,MSC
41.58679962,-83.80780029,Ohio,TOL
42.77870178,-84.58740234,Michigan,LAN
26.17580032,-98.23860168,Texas,MFE
35.43360138,-119.0569992,California,BFL
33.30780029,-111.6549988,Arizona,AZA
38.37680054,-121.961998,California,
38.03699875,-87.53240204,Indiana,EVV
46.77270126,-100.7460022,North Dakota,BIS
30.58860016,-96.36380005,Texas,CLL
40.72880173,-73.41339874,New York,FRG
37.036389,-113.510306,Utah,SGU
37.332901,-121.8190002,California,RHV
32.446602,-93.8256,Louisiana,SHV
42.9654007,-83.74359894,Michigan,FNT
41.25310135,-70.06020355,Massachusetts,ACK
34.89889908,-120.4570007,California,SMX
39.64260101,-106.9179993,Colorado,EGE
41.33010101,-72.04509735,Connecticut,GON
45.540401,-122.949997,Oregon,HIO
32.82619858,-116.9720001,California,SEE
40.47710037,-88.91590118,Illinois,BMI
41.44850159,-90.50749969,Illinois,MLI
45.77750015,-111.1529999,Montana,BZN
42.15990067,-76.89160156,New York,ELM
40.50899887,-122.2929993,California,RDD
31.61129951,-97.23049927,Texas,ACT
39.12319946,-94.59279633,Missouri,MKC
43.1072998,-78.94619751,New York,IAG
